CAMPUS,C29AD15R,C29ADC15R,C29ADE15R,C29ADM15R,C29ADS15R,C39AD15R,C39ADC15R,C39ADE15R,C39ADM15R,C39ADS15R,C49AD15R,C49ADC15R,C49ADE15R,C49ADM15R,C49ADS15R,CA9AD15R,CA9ADC15R,CA9ADE15R,CA9ADM15R,CA9ADS15R,CB9AD15R,CB9ADC15R,CB9ADE15R,CB9ADM15R,CB9ADS15R,CE9AD15R,CE9ADC15R,CE9ADE15R,CE9ADM15R,CE9ADS15R,CF9AD15R,CF9ADC15R,CF9ADE15R,CF9ADM15R,CF9ADS15R,CH9AD15R,CH9ADC15R,CH9ADE15R,CH9ADM15R,CH9ADS15R,CI9AD15R,CI9ADC15R,CI9ADE15R,CI9ADM15R,CI9ADS15R,CL9AD15R,CL9ADC15R,CL9ADE15R,CL9ADM15R,CL9ADS15R,CM9AD15R,CM9ADC15R,CM9ADE15R,CM9ADM15R,CM9ADS15R,CR9AD15R,CR9ADC15R,CR9ADE15R,CR9ADM15R,CR9ADS15R,CS9AD15R,CS9ADC15R,CS9ADE15R,CS9ADM15R,CS9ADS15R,CW9AD15R,CW9ADC15R,CW9ADE15R,CW9ADM15R,CW9ADS15R
"011904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"014902001",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.2,4.3,8.6,-1,7.9,0,-1,0,.,-1,7.9,0,6.5,-1,4.3,10.9,0,9.3,.,10,10,5.9,6.9,-1,6.1,-1,.,-1,.,-1,0,-1,0,.,-1,9.6,7.1,8,-1,5.6,2.8,0,1.5,-1,2,0,.,0,.,0,14.3,-1,16,.,13.6
"016901001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,28.6,14.9,24.7,16.8,6.2,.,.,.,.,.,17.4,8.6,14.9,9.7,0,43.1,21.3,38,25.3,9,17.5,10,14.5,8.8,1.9,-1,-1,-1,-1,-1,0,-1,0,0,0,16.3,9.1,13.4,9.6,3.7,19.6,6.6,18.9,7.9,2.7,6.7,5.6,3.3,4,0,33.9,17.4,29.5,20.5,7.9
"016901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016902001",57.1,0,28.6,28.6,28.6,.,.,.,.,.,.,.,.,.,.,35.8,0,21.4,20.5,11.2,.,.,.,.,.,29.9,0,19.2,12.6,4.9,35.8,0,26.3,20.7,14.9,30.3,0,21.2,11.8,6.2,-1,-1,-1,-1,-1,45.5,0,45.5,0,0,35.7,0,18,20.4,8.6,25.8,0,16.2,8.2,0,13,0,8.7,0,0,37.8,0,20.9,25.3,12.9
"016902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"016902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
